time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-03-30 15:37:36,1363,mysql,20,0,3124984,173212,12608,S,0.0,2.2,0:01.81,/usr/sbin/mysqld
2020-03-30 15:38:37,1363,mysql,20,0,3124984,175852,12628,S,0.0,2.2,0:01.88,/usr/sbin/mysqld
2020-03-30 15:39:59,1438,mysql,20,0,3124984,186968,13348,S,0.0,2.3,0:01.99,/usr/sbin/mysqld
2020-03-30 15:41:05,1438,mysql,20,0,3124984,198300,13524,S,0.0,2.5,0:03.89,/usr/sbin/mysqld
2020-03-30 15:42:07,1438,mysql,20,0,3124984,199636,13524,S,5.9,2.5,0:04.59,/usr/sbin/mysqld
2020-03-30 15:43:08,1438,mysql,20,0,3124984,199636,13524,S,11.1,2.5,0:05.55,/usr/sbin/mysqld
2020-03-30 15:44:09,1438,mysql,20,0,3124984,199636,13524,S,5.9,2.5,0:06.49,/usr/sbin/mysqld
2020-03-30 15:45:09,1438,mysql,20,0,3124984,200660,13524,S,0.0,2.5,0:07.53,/usr/sbin/mysqld
2020-03-30 15:46:11,1438,mysql,20,0,3124984,200660,13524,S,5.6,2.5,0:08.50,/usr/sbin/mysqld
2020-03-30 15:47:12,1438,mysql,20,0,3124984,200660,13524,S,11.8,2.5,0:09.50,/usr/sbin/mysqld
2020-03-30 15:48:12,1438,mysql,20,0,3124984,201684,13524,S,5.9,2.5,0:10.45,/usr/sbin/mysqld
2020-03-30 15:49:13,1438,mysql,20,0,3124984,205072,13524,S,11.8,2.6,0:11.39,/usr/sbin/mysqld
2020-03-30 15:50:14,1438,mysql,20,0,3124984,206460,13524,S,0.0,2.6,0:12.34,/usr/sbin/mysqld
2020-03-30 15:51:14,1438,mysql,20,0,3124984,208496,13524,S,11.1,2.6,0:13.26,/usr/sbin/mysqld
2020-03-30 15:52:15,1438,mysql,20,0,3124984,209736,13524,S,0.0,2.6,0:14.21,/usr/sbin/mysqld
2020-03-30 15:53:16,1438,mysql,20,0,3124984,209736,13524,S,5.9,2.6,0:15.15,/usr/sbin/mysqld
2020-03-30 15:54:16,1438,mysql,20,0,3256056,217912,13784,S,16.7,2.7,0:19.18,/usr/sbin/mysqld
2020-03-30 15:55:18,1438,mysql,20,0,3256056,225036,13792,S,0.0,2.8,0:21.63,/usr/sbin/mysqld
2020-03-30 15:56:19,1438,mysql,20,0,3256056,229524,13808,S,0.0,2.9,0:23.76,/usr/sbin/mysqld
2020-03-30 15:57:20,1438,mysql,20,0,3256056,232160,13824,S,11.8,2.9,0:26.10,/usr/sbin/mysqld
2020-03-30 15:58:21,1438,mysql,20,0,3256056,232424,13824,S,5.6,2.9,0:28.57,/usr/sbin/mysqld
2020-03-30 15:59:23,1438,mysql,20,0,3256056,236648,13824,S,5.9,3.0,0:31.01,/usr/sbin/mysqld
2020-03-30 16:00:25,1438,mysql,20,0,3256056,239020,13836,S,0.0,3.0,0:33.29,/usr/sbin/mysqld
2020-03-30 16:01:26,1438,mysql,20,0,3256056,239020,13836,S,0.0,3.0,0:35.66,/usr/sbin/mysqld
2020-03-30 16:02:26,1438,mysql,20,0,3256056,239284,13836,S,0.0,3.0,0:38.29,/usr/sbin/mysqld
2020-03-30 16:03:27,1438,mysql,20,0,3256056,239812,13836,S,0.0,3.0,0:40.50,/usr/sbin/mysqld
2020-03-30 16:04:29,1438,mysql,20,0,3256056,239812,13836,S,0.0,3.0,0:42.26,/usr/sbin/mysqld
2020-03-30 16:05:29,1438,mysql,20,0,3323092,350548,14092,S,0.0,4.4,0:48.15,/usr/sbin/mysqld
2020-03-30 16:06:30,1438,mysql,20,0,3323092,356612,14244,S,0.0,4.5,0:52.19,/usr/sbin/mysqld
2020-03-30 16:07:32,1438,mysql,20,0,3327292,365232,14424,S,0.0,4.6,0:56.17,/usr/sbin/mysqld
2020-03-30 16:08:32,1438,mysql,20,0,3327292,369692,14704,S,5.3,4.6,1:03.99,/usr/sbin/mysqld
2020-03-30 16:09:33,1438,mysql,20,0,3327292,373108,14704,S,0.0,4.7,1:09.55,/usr/sbin/mysqld
2020-03-30 16:10:34,1438,mysql,20,0,3327292,376796,14704,S,0.0,4.7,1:13.60,/usr/sbin/mysqld
2020-03-30 16:11:34,1438,mysql,20,0,3327292,381020,14704,S,0.0,4.8,1:15.80,/usr/sbin/mysqld
2020-03-30 16:12:35,1438,mysql,20,0,3327292,381812,14704,S,0.0,4.8,1:17.21,/usr/sbin/mysqld
2020-03-30 16:13:37,1438,mysql,20,0,3327292,384708,14704,S,0.0,4.8,1:19.47,/usr/sbin/mysqld
2020-03-30 16:14:37,1438,mysql,20,0,3327292,384972,14704,S,0.0,4.8,1:22.06,/usr/sbin/mysqld
2020-03-30 16:15:38,1438,mysql,20,0,3327292,386556,14704,S,0.0,4.8,1:24.33,/usr/sbin/mysqld
2020-03-30 16:16:39,1438,mysql,20,0,3327292,386556,14704,S,0.0,4.8,1:26.66,/usr/sbin/mysqld
2020-03-30 16:17:39,1438,mysql,20,0,3327292,387344,14720,S,0.0,4.8,1:29.59,/usr/sbin/mysqld
2020-03-30 16:18:40,1438,mysql,20,0,3327292,387872,14720,S,5.9,4.8,1:32.48,/usr/sbin/mysqld
2020-03-30 16:19:40,1438,mysql,20,0,3327292,390248,14740,S,0.0,4.9,1:35.39,/usr/sbin/mysqld
2020-03-30 16:20:41,1438,mysql,20,0,3327292,395200,14752,S,17.6,4.9,1:40.33,/usr/sbin/mysqld
2020-03-30 16:21:42,1438,mysql,20,0,3327292,395464,14752,S,0.0,4.9,1:42.87,/usr/sbin/mysqld
2020-03-30 16:22:42,1438,mysql,20,0,3327292,395724,14752,S,5.9,4.9,1:45.47,/usr/sbin/mysqld
2020-03-30 16:23:43,1438,mysql,20,0,3327292,397308,14752,S,0.0,5.0,1:48.33,/usr/sbin/mysqld
2020-03-30 16:24:44,1438,mysql,20,0,3327292,401264,14752,S,0.0,5.0,1:51.73,/usr/sbin/mysqld
2020-03-30 16:25:44,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:53.05,/usr/sbin/mysqld
2020-03-30 16:26:45,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:53.98,/usr/sbin/mysqld
2020-03-30 16:27:46,1438,mysql,20,0,3327292,401528,14760,S,5.9,5.0,1:54.85,/usr/sbin/mysqld
2020-03-30 16:28:46,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:55.75,/usr/sbin/mysqld
2020-03-30 16:29:47,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:56.79,/usr/sbin/mysqld
2020-03-30 16:30:48,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:57.69,/usr/sbin/mysqld
2020-03-30 16:31:48,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:58.60,/usr/sbin/mysqld
2020-03-30 16:32:49,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,1:59.55,/usr/sbin/mysqld
2020-03-30 16:33:50,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:00.51,/usr/sbin/mysqld
2020-03-30 16:34:50,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:01.46,/usr/sbin/mysqld
2020-03-30 16:35:51,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:02.39,/usr/sbin/mysqld
2020-03-30 16:36:52,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:03.34,/usr/sbin/mysqld
2020-03-30 16:37:52,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:04.25,/usr/sbin/mysqld
2020-03-30 16:38:53,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:05.53,/usr/sbin/mysqld
2020-03-30 16:39:54,1438,mysql,20,0,3327292,401528,14760,S,11.8,5.0,2:06.45,/usr/sbin/mysqld
2020-03-30 16:40:54,1438,mysql,20,0,3327292,401528,14760,S,0.0,5.0,2:10.67,/usr/sbin/mysqld
2020-03-30 16:41:55,1438,mysql,20,0,3327292,412560,14760,S,0.0,5.2,2:51.01,/usr/sbin/mysqld
2020-03-30 16:42:56,1438,mysql,20,0,3327292,422336,14760,S,72.2,5.3,3:40.58,/usr/sbin/mysqld
2020-03-30 16:43:56,1438,mysql,20,0,3458364,652612,14760,S,131.6,8.1,4:57.11,/usr/sbin/mysqld
2020-03-30 16:44:58,1438,mysql,20,0,3460464,676592,14764,S,152.9,8.4,6:13.55,/usr/sbin/mysqld
2020-03-30 16:46:00,1438,mysql,20,0,3526900,806596,14764,S,138.9,10.1,7:39.04,/usr/sbin/mysqld
2020-03-30 16:47:01,1438,mysql,20,0,3526900,848088,14792,S,68.2,10.6,9:22.16,/usr/sbin/mysqld
2020-03-30 16:48:03,1438,mysql,20,0,3527200,871124,14792,S,21.1,10.9,10:49.72,/usr/sbin/mysqld
2020-03-30 16:49:05,1438,mysql,20,0,3527204,889076,14792,S,155.6,11.1,11:56.51,/usr/sbin/mysqld
2020-03-30 16:50:07,1438,mysql,20,0,3527204,906172,14792,S,90.9,11.3,13:30.60,/usr/sbin/mysqld
2020-03-30 16:51:08,1438,mysql,20,0,3527204,915156,14792,S,133.3,11.4,14:31.23,/usr/sbin/mysqld
2020-03-30 16:52:10,1438,mysql,20,0,3527204,929880,14792,S,131.6,11.6,15:26.17,/usr/sbin/mysqld
2020-03-30 16:53:10,1438,mysql,20,0,3527204,944060,14800,S,126.3,11.8,16:25.01,/usr/sbin/mysqld
2020-03-30 16:54:12,1438,mysql,20,0,3527204,952776,14800,S,168.4,11.9,17:23.44,/usr/sbin/mysqld
2020-03-30 16:55:13,1438,mysql,20,0,3527204,963076,14800,S,141.2,12.0,18:52.03,/usr/sbin/mysqld
2020-03-30 16:56:14,1438,mysql,20,0,3527204,973436,14800,S,133.3,12.2,20:07.13,/usr/sbin/mysqld
2020-03-30 16:57:15,1438,mysql,20,0,3527204,985840,14800,S,127.8,12.3,20:55.69,/usr/sbin/mysqld
2020-03-30 16:58:16,1438,mysql,20,0,3527204,1000345,14800,S,123.5,12.5,21:52.08,/usr/sbin/mysqld
2020-03-30 16:59:18,1438,mysql,20,0,3527204,1008537,14800,S,147.4,12.6,22:43.58,/usr/sbin/mysqld
2020-03-30 17:00:19,1438,mysql,20,0,3527204,1020108,14800,S,194.4,12.7,24:12.74,/usr/sbin/mysqld
2020-03-30 17:01:20,1438,mysql,20,0,3527204,1048576,14800,S,88.9,12.8,25:29.67,/usr/sbin/mysqld
2020-03-30 17:02:22,1438,mysql,20,0,3527204,1048576,14800,S,88.9,13.0,26:23.34,/usr/sbin/mysqld
2020-03-30 17:03:24,1438,mysql,20,0,3527204,1048576,14884,S,94.1,13.2,27:17.35,/usr/sbin/mysqld
2020-03-30 17:04:25,1438,mysql,20,0,3527204,1048576,14884,S,105.3,13.3,28:20.39,/usr/sbin/mysqld
2020-03-30 17:05:26,1438,mysql,20,0,3527204,1048576,14884,S,122.2,13.4,29:48.84,/usr/sbin/mysqld
2020-03-30 17:06:26,1438,mysql,20,0,3527204,1048576,14912,S,88.9,13.5,30:50.59,/usr/sbin/mysqld
2020-03-30 17:07:27,1438,mysql,20,0,3527204,1048576,14912,S,70.6,13.6,31:44.62,/usr/sbin/mysqld
2020-03-30 17:08:28,1438,mysql,20,0,3527204,1153433,14912,S,73.7,13.8,32:39.87,/usr/sbin/mysqld
2020-03-30 17:09:28,1438,mysql,20,0,3527204,1153433,14912,S,120.0,13.9,33:38.91,/usr/sbin/mysqld
2020-03-30 17:10:29,1438,mysql,20,0,3527204,1153433,14916,S,127.8,14.0,35:02.22,/usr/sbin/mysqld
2020-03-30 17:11:30,1438,mysql,20,0,3527204,1153433,14916,S,88.2,14.1,36:11.76,/usr/sbin/mysqld
2020-03-30 17:12:31,1438,mysql,20,0,3527204,1153433,14916,S,77.8,14.2,37:07.94,/usr/sbin/mysqld
2020-03-30 17:13:32,1438,mysql,20,0,3527204,1153433,14916,S,82.4,14.3,38:03.12,/usr/sbin/mysqld
2020-03-30 17:14:32,1438,mysql,20,0,3527204,1153433,14916,S,127.8,14.4,39:14.50,/usr/sbin/mysqld
2020-03-30 17:15:34,1438,mysql,20,0,3527204,1153433,14916,S,123.5,14.5,40:41.31,/usr/sbin/mysqld
2020-03-30 17:16:35,1438,mysql,20,0,3527204,1153433,14916,S,72.2,14.6,41:37.99,/usr/sbin/mysqld
2020-03-30 17:17:35,1438,mysql,20,0,3527204,1153433,14916,S,23.5,14.7,42:32.73,/usr/sbin/mysqld
2020-03-30 17:18:36,1438,mysql,20,0,3527204,1153433,14916,S,66.7,14.9,43:28.49,/usr/sbin/mysqld
2020-03-30 17:19:38,1438,mysql,20,0,3527204,1153433,14916,S,129.4,15.0,44:38.43,/usr/sbin/mysqld
2020-03-30 17:20:39,1438,mysql,20,0,3527204,1153433,14916,S,38.9,15.0,46:01.63,/usr/sbin/mysqld
2020-03-30 17:21:40,1438,mysql,20,0,3527204,1258291,14916,S,70.6,15.2,46:56.09,/usr/sbin/mysqld
2020-03-30 17:22:41,1438,mysql,20,0,3527204,1258291,14916,S,72.2,15.3,47:48.83,/usr/sbin/mysqld
2020-03-30 17:23:42,1438,mysql,20,0,3527204,1258291,14952,S,76.5,15.4,48:39.49,/usr/sbin/mysqld
2020-03-30 17:24:43,1438,mysql,20,0,3527204,1258291,14952,S,127.8,15.5,49:50.35,/usr/sbin/mysqld
2020-03-30 17:25:43,1438,mysql,20,0,3527204,1258291,14952,S,82.4,15.6,51:06.10,/usr/sbin/mysqld
2020-03-30 17:26:44,1438,mysql,20,0,3527204,1258291,14952,S,72.2,15.7,51:58.08,/usr/sbin/mysqld
2020-03-30 17:27:45,1438,mysql,20,0,3527204,1258291,14952,S,66.7,15.8,52:50.73,/usr/sbin/mysqld
2020-03-30 17:28:47,1438,mysql,20,0,3527204,1258291,14960,S,77.8,15.9,53:43.66,/usr/sbin/mysqld
2020-03-30 17:29:47,1438,mysql,20,0,3527204,1258291,14960,S,131.6,15.9,54:57.74,/usr/sbin/mysqld
2020-03-30 17:30:48,1438,mysql,20,0,3527204,1258291,14960,S,76.5,16.0,56:11.75,/usr/sbin/mysqld
2020-03-30 17:31:49,1438,mysql,20,0,3527204,1258291,14960,S,0.0,16.1,57:04.31,/usr/sbin/mysqld
2020-03-30 17:32:50,1438,mysql,20,0,3527204,1258291,14960,S,77.8,16.1,57:59.14,/usr/sbin/mysqld
2020-03-30 17:33:51,1438,mysql,20,0,3527204,1258291,14960,S,76.5,16.1,58:52.47,/usr/sbin/mysqld
