time,PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2020-03-30 15:37:36,3916,threatq,20,0,324924,65448,7180,S,0.0,0.8,0:02.23,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:38:37,3916,threatq,20,0,329996,68384,7328,S,0.0,0.9,0:03.93,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:39:59,3916,threatq,20,0,330756,69216,7328,S,0.0,0.9,0:04.44,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:41:05,3916,threatq,20,0,331012,69608,7328,S,0.0,0.9,0:05.49,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:42:07,3916,threatq,20,0,331444,69960,7328,S,5.9,0.9,0:06.60,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:43:08,3916,threatq,20,0,331444,70052,7332,S,5.6,0.9,0:07.76,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:44:09,3916,threatq,20,0,331444,70052,7332,S,5.6,0.9,0:08.91,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:45:09,3916,threatq,20,0,331444,70052,7332,S,5.9,0.9,0:10.04,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:46:11,3916,threatq,20,0,331444,70076,7332,S,0.0,0.9,0:11.16,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:47:12,3916,threatq,20,0,331956,70372,7332,S,0.0,0.9,0:12.29,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:48:12,3916,threatq,20,0,332136,70680,7332,S,0.0,0.9,0:13.48,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:49:13,3916,threatq,20,0,332136,70680,7332,S,0.0,0.9,0:14.61,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:50:14,3916,threatq,20,0,332136,70680,7332,S,0.0,0.9,0:15.73,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:51:14,3916,threatq,20,0,332136,70700,7332,S,0.0,0.9,0:16.87,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:52:15,3916,threatq,20,0,332136,70700,7332,S,0.0,0.9,0:17.92,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:53:16,3916,threatq,20,0,332392,70764,7332,S,5.6,0.9,0:19.15,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:54:16,3916,threatq,20,0,332392,70836,7332,S,17.6,0.9,0:20.35,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:55:18,3916,threatq,20,0,332392,70836,7332,S,17.6,0.9,0:21.49,/usr/bin/python2,/usr/bin/tqcontroller
2020-03-30 15:56:19,3916,threatq,20,0,332392,70836,7332,S,5.6,0.9,0:22.70,/usr/bin/python2,/usr/bin/tqcontroller
